id,name,text,trans
0000000000000,{user},麻央さん、調子はどうですか。,麻央同学，状态怎么样？
0000000000000,麻央,絶好調ですよ。昨日は\nたこ焼きになる夢を見ました。,状态绝佳哦。昨天我\n梦到自己变成了章鱼烧。
0000000000000,{user},……奇遇ですね。俺もです。,……真是巧合呢。我也是。
0000000000000,麻央,ふふ、気が合いますね。,呵呵，我们很合得来呢。
0000000000000,麻央,あの、お母さ……\n両親は、もう来てますか？,那个，您母……\n您的父母已经来了吗？
0000000000000,{user},会場にはいらしています。\n先に控え室にご案内しますか？,他们已经到会场了。\n需要先带他们去休息室吗？
0000000000000,麻央,ええっと、どうしようかな……\nいえ……会うのは後でにします。,呃—，该怎么办呢……\n不用了……还是稍后再见吧。
0000000000000,麻央,最初はステージで、\n成長したボクの姿、見てほしいから。,因为我想让他们先在舞台上\n看到成长后的我。
0000000000000,{user},お父様のほうは、ギリギリまで\nお仕事を調整してくれたそうです。,听说父亲那边直到最后一刻\n都在为工作安排调整时间。
0000000000000,{user},ご両親に、愛されていますね。,您真受父母疼爱呢。
0000000000000,麻央,……ボクの両親は、子供の頃から、\nボクのやりたいことを尊重してくれて。,……我的父母从小时候起\n就一直尊重我想做的事情。
0000000000000,麻央,歌劇の舞台に感動して、\nお芝居がしたいって言い出したときも、,当我被歌剧舞台感动\n说出想演戏的时候，
0000000000000,麻央,すぐにちびっこ劇団を探して、\n入れてくれたんです。,他们立刻找了儿童剧团\n让我加入。
0000000000000,麻央,初星学園に入学して、\nボクがうまくいってないことも、\n気付いてたと思うんですけど……,虽然我觉得他们应该也察觉到了\n我进入初星学园后\n一直不太顺利……
0000000000000,麻央,なにも言わずに応援してくれた。,但他们什么都没说，一直支持着我。
0000000000000,麻央,ボクは、子役時代のときと同じように、\n大きなステージで脚光を浴びてる姿を\n見てほしいからって――,因为我固执地想要——\n让他们看到我和童星时期一样\n在盛大舞台上沐浴聚光灯的模样，
0000000000000,麻央,意地を張って。見栄を張って。\nずっとステージを見せられなくて……,只顾着逞强。只顾着虚荣。\n结果一直没能让他们看到我的舞台……
0000000000000,麻央,やっと……やっと、見せられる……,终于……终于能让他们看到了……
0000000000000,{user},今日は成長した麻央さんの姿を、\nたくさん見てもらいましょう。,今天一定要让您父母\n好好看看成长后的麻央同学。
0000000000000,{user},<em>これまでの2年間の</em>、あなたの努力を。,<em>这整整两年间</em>，您付出的努力。
0000000000000,麻央,はいっ！,好的——！
0000000000000,麻央,大阪のみんなー、今日はおおきにー！,大阪的各位——今天非常感谢——！
0000000000000,麻央,じつは今日、会場に\nボクの両親が来てくれてるんです。,其实今天\n我的父母也来到会场了哦。
0000000000000,麻央,どこかなー……って、\nボクのファンTシャツ着てるーっ！？,在哪里呢——……啊，\n居然穿着我的应援T恤——！？
0000000000000,麻央,嬉しいけど、なんだか照れるなぁ。,虽然很开心，但总觉得有点害羞啊。
0000000000000,麻央,それじゃあ、最初の曲、\nみんな盛り上がっていきましょう！,那么，第一首歌，\n请大家一起嗨起来吧！
0000000000000,麻央,見ていてください。\nこれが、今のボクの――\n有村麻央のステージです。,请看着我吧。\n这就是，现在的我——\n有村麻央的舞台。
0000000000000,{user},大成功でしたね。\n大盛り上がりのライブでした。,真是大成功呢。\n这场演唱会气氛超级热烈。
0000000000000,麻央,よかったぁ。観客のみなさんも、\nすごくノリがよくて助かりました。,太好了。观众们也\n非常配合，帮了大忙呢。
0000000000000,母,……麻央。,……麻央。
0000000000000,麻央,お母さん……\nお父さんも……,妈妈……\n爸爸也……
0000000000000,母,ずっと子供だと思ってたあなたが、\nあんなに立派になって――,一直以为还是个孩子的你，\n竟然变得这么出色了——
0000000000000,母,とっても素敵な、王子様だったよ。,真是个非常迷人的王子殿下呢。
0000000000000,麻央,お母さん……,妈妈……
0000000000000,父,麻央。しばらく見ないうちに\n大きくなって、びっくりしたよ。,麻央。一段时间没见\n你长大了好多，真让人吃惊啊。
0000000000000,麻央,背は、ほとんど伸びてないよ。,身高几乎没长哦。
0000000000000,父,はは、そうかな……,哈哈，是这样吗……
0000000000000,父,でも、ステージで踊る麻央は、\nすごく大きく見えたんだ。,但是，在舞台上跳舞的麻央，\n看起来非常高大呢。
0000000000000,麻央,……もっと、大きくなるよ。,……我会变得更大的。
0000000000000,麻央,トップアイドルになって、\n絶対、全国ツアーに招待するから。,等我成为顶级偶像后，\n绝对要邀请你们来全国巡演。
0000000000000,麻央,応援してて――\nお母さん、お父さん。,请为我加油——\n妈妈，爸爸。
0000000000000,母,麻央……,麻央……
0000000000000,父,プロデューサーさん。,制作人同学。
0000000000000,父,麻央のこと、よろしくお願いします。,麻央就拜托你了。
0000000000000,{user},はい。必ず麻央さんを、\nトップアイドルにしてみせます。,是。我一定会让麻央同学\n成为顶级偶像。
0000000000000,麻央,よろしくお願いします、\nプロデューサー！,拜托你了，\n制作人！
info,adv_cidol-amao-3-013_03.txt,,
译者,,,
