id,name,text,trans
0000000000000,ことね,さあっ、はじめますよ！,好了，要开始了哦！
0000000000000,ことね,咲季と手毬のファンに、藤田ことねを\n大好きになってもらおう大作戦！,让咲季和手毬的粉丝\n也喜欢上藤田琴音的大作战！
0000000000000,ことね,プロデューサーが言い出しっぺ\nなんだから、,既然是制作人你提出来的主意，
0000000000000,ことね,ちゃんと作戦考えてくださいよね！\n丸投げはダメですからね！,请好好制定作战计划！\n不许全部推给别人哦！
0000000000000,{user},もちろんです。それにしても……\n無茶ぶりにもだえ苦しんでいたのに。,当然。不过话说回来……\n明明刚才还在为强人所难的要求苦恼呢。
0000000000000,{user},すぐにそうやって前向きになれる。\n藤田さんのいいところですね。,却能立刻这样积极向前。\n这正是藤田同学的优点呢。
0000000000000,ことね,うっわもォ～、\n微笑ましそうにしちゃってさぁ。,呜哇～\n你笑得一脸欣慰的样子啦～
0000000000000,ことね,こちとらピンチには慣れっこなんで～。\nこの程度でへこたれたりしまセーン。,咱可是早就习惯危机了～\n这种程度才不会垮掉呢ー。
0000000000000,{user},よく知っています。,我很清楚。
0000000000000,{user},藤田さん、人が人を好きになる\nタイミングがわかりますか？,藤田同学，你知道人喜欢上另一个人\n需要什么契机吗？
0000000000000,ことね,報酬をもらったときですッ！！！！,拿到报酬的时候！！！！
0000000000000,{user},具体的すぎる回答を\nありがとうございます。とても……\n話をつなげにくくて困っています。,感谢您如此具体的回答……\n这让我非常……难以接话。
0000000000000,ことね,どんな話につなげたかったんです？,你原本想怎么接话呢？
0000000000000,{user},相手のいいところを見つけたときに、\n人は人を好きになるんです――と。,是想说当发现对方优点的时候，\n人就会喜欢上另一个人——这样的台词吗？
0000000000000,ことね,ついさっき、あたしの\nいいところを見つけてくれた\nプロデューサーみたいに？,就像刚刚发现了我的优点的\n制作人那样？
0000000000000,{user},はい。,是的。
0000000000000,ことね,おっほ♪　即答ぉ～♡,哦吼♪秒答诶～♡
0000000000000,{user},アイドルのファンも同じです。\nつまり……,偶像的粉丝也是同样的道理。\n也就是说……
0000000000000,ことね,咲季のファンも、手毬のファンも、\nあいつらのことが大好きで……,无论是咲季的粉丝还是手毬的粉丝，\n都是因为非常喜欢她们……
0000000000000,ことね,あいつらのいいところを……\nたっくさんしってるってコトですよね。\n当たり前ですケド。,也就是说…非常了解她们的优点对吧。\n虽然这是理所当然的啦。
0000000000000,{user},では、それを踏まえて、おふたりの\nファンから好かれるためには？,那么基于这一点，要如何让\n两位的粉丝喜欢上我们呢？
0000000000000,ことね,あいつらのいいところを取り入れる――,吸收她们的优点——
0000000000000,ことね,手毬みたいに歌ったり、咲季に\n負けないくらいカッコよく踊ればいい。,像手毬那样唱歌，再跳出不输给\n咲季的帅气舞步就行了。
0000000000000,ことね,……話戻ってきちゃったんですけど。\nもちろん努力はしますけど――,……虽然话题又绕回来了。\n我当然会努力啦——
0000000000000,ことね,あいつらのストロングポイントで\n勝負したら敵わないですよぉ～。,要是用她们的强项来\n一决胜负的话，根本赢不了嘛～。
0000000000000,{user},そうでしょうか？　いまの藤田さんは、\nダンスはもちろん、,是这样吗？现在的藤田同学，\n舞蹈能力自然不用说，
0000000000000,{user},歌唱力だって、格段に上達しています。,连歌唱力也进步神速。
0000000000000,{user},きっとおふたりのファンにだって、\nこう思っていただけますよ――,想必连那两位的粉丝，\n也会这么想的——
0000000000000,{user},藤田ことね、やるじゃん、と。,藤田琴音，挺能干的嘛。
0000000000000,ことね,クッ……信頼が重い……！　\nハードルが高い……！,呜……这份信任太沉重了……！\n门槛太高了……！
0000000000000,ことね,てわけでもう1回言いますね！　作戦！\nなんかいー感じの作戦ください！,所以我就再说一次！作战计划！\n请给我个靠谱的作战计划！
0000000000000,{user},そのつもりです。\nおふたりのいいところは、,正有此意。\n那两位的优点，
0000000000000,{user},アイドルとしての技量だけ\nではないでしょう？,不仅仅在于\n作为偶像的技术能力吧？
0000000000000,ことね,まぁ……そですね。身近な相手なんで、\n素直に褒めるのハズいですケド。,唔……确实呢。因为是身边的人，\n坦率夸奖会觉得有点难为情啦。
0000000000000,{user},それを、この機会に\n見つめ直してみましょう。,就趁这个机会，\n重新审视这一点吧。
0000000000000,{user},きっと大きな効果があるはずですよ。,一定会产生显著效果的。
0000000000000,ことね,理屈はわかりました。\n効果的な作戦かもですね。でも……,道理我明白了。\n或许是个有效的作战呢。但是……
0000000000000,ことね,いやァ……プロデューサー。,那个啊……制作人。
0000000000000,ことね,この作戦……\nめっちゃ照れくさくないですかね。,这个作战……\n不会让人觉得超级难为情吗？
info,adv_cidol-fktn-3-016_02.txt,,
译者,,,
