id,name,text,trans
0000000000000,手毬,（せっかくの休みだし、服でも\n見に行こうかな……）,（难得休假，要不要去看看衣服呢……）
0000000000000,星南,月村さん、奇遇ね。,月村同学，真巧呢。
0000000000000,手毬,えっ！？　か、会長？\nお疲れ様です……,诶！？ 会、会长？\n您辛苦了……
0000000000000,手毬,ずいぶん……荷物が多いんですね？,你……行李可真不少呢？
0000000000000,星南,ええ……これはね。　ふふっ……,嗯……这个啊。呵呵……
0000000000000,星南,ことねがハンバーガーショップの\nイベントに出演したことは知っている？,你知道琴音参加了汉堡店的活动吗？
0000000000000,手毬,本人から聞きました。\nたしか、学園から依頼があったとか。,听她本人说过了。\n我记得，好像是学园那边委托的。
0000000000000,星南,ふふ、キャンペーン起用の\n企画書を出した甲斐があったわ。,呵呵，我提交的启用宣传企划书总算没白费功夫。
0000000000000,手毬,まさか、会長が企画したんですか？\nそれを自分で……買って？,难道说，是会长策划的吗？\n这些……都是你自己买的？
0000000000000,星南,そうよ。,是呀。
0000000000000,星南,だってことねのウインクが0円なんて、\nすごいじゃない！？,因为琴音的眨眼只卖0日元，这不是很厉害吗！？
0000000000000,手毬,………………,………………
0000000000000,星南,あの子のアルバイト経験は、\nアイドル活動にも活きるはずよ。,那孩子的打工经验，应该也能活用在她自己的偶像活动上。
0000000000000,星南,私発案だとわかったら、断られるかも\nと思って学園から依頼してもらったの。,我怕如果知道是我提议的，她可能会拒绝，所以就让学园出面委托了。
0000000000000,星南,引き受けてくれてよかったわ。,她能答应真是太好了。
0000000000000,手毬,（もしかして、この人……\nかなり不器用？）,（该不会，这个人……\n其实相当笨拙？）
0000000000000,星南,よかったら一緒に食べましょう。,方便的话，一起吃吧。
0000000000000,手毬,……！\nい、いえ、私は大丈夫です……,……！\n不、不用了，我没关系的……
0000000000000,星南,食べた分レッスンすればいいのよ。\nもちろん、付き合うわ。何時間でも！,吃下去的部分通过训练消耗掉就好了。\n当然，我会陪你一起练的。多久都行！
0000000000000,手毬,う……え、遠慮しておきます……！,呜……呃，还是不用了……！
info,adv_csprt-2-0071_01.txt,,
译者,,,
